ID,Tweet,Affect_Dimension,Intensity_Score,Cleaned_Tweet
2017-En-30614,#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation,valence,0.617,going to the doctor on so many levels but least i can go sleep with a just watched on live nation
2017-En-41038,"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",valence,0.599,happy birthday lost
2017-En-41396,People too weak to follow their own dreams will always find a way to discourage yours.,valence,0.313,people too weak to follow their own dreams will always find a way to discourage yours
2017-En-41145,@bldmovs sadly beautiful photo.,valence,0.362,sadly beautiful photo
2017-En-20726,@SueWallace78 peanut butter???? You some kinda pervert?? ,valence,0.379,peanut butter you some kinda pervert
2017-En-10462,My baskets are better when I'm in a bad mood someone irritate me before practice please,valence,0.313,my baskets are better when im in a bad mood someone irritate me before practice please
2017-En-30210,Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY,valence,0.672,remember the life you have is a blessing for make it a joyful experience regardless of the odds gby
2017-En-10133,@ChurdAllan fucked my coupon that goal! ,valence,0.406,fucked my coupon that goal
2017-En-41412,It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.',valence,0.138,its always depressing to sort wordpress plugin recommendations not by best but by least offensive in terms of premium features
2017-En-31023,"@GreatDismal @Bencjacobs and it’s gleeful because they’re so inspired, so convinced they’re winning and at last have their strongman",valence,0.609,and it’s gleeful because they’re so inspired so convinced they’re winning and at last have their strongman
2017-En-30331,Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN,valence,0.683,catering channels at the height technics hearty enjoyment symptomatize vrlfeyrn
2017-En-10512,@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,valence,0.516,the best revenge is to get yourself a good woman and move on leave her and her hairline to figure themselves out alone
2017-En-30789,@iamglenn35 the forth character? No... not gleeful enough...,valence,0.391,the forth character no not gleeful enough
2017-En-21121,My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism #awe,valence,0.597,my view of the human being is as a dynamic expression of the cosmos we exist within
2017-En-31460,@homoaesthetics YESYESYES like jd is the closest cahracter that is similar to blaine!! the optimism and ability to crack tough characters,valence,0.683,yesyesyes like jd is the closest cahracter that is similar to blaine the optimism and ability to crack tough characters
2017-En-40579,"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",valence,0.531,yeah they figured that ornaments are way more wanted than spektar and desolate gear well they thought right
2017-En-30558,Hey NASCAR fans. Are you going to the race in Loudon this weekend?  Why not stop by New Day Diner for a great hearty breakfast before you go,valence,0.694,hey nascar fans are you going to the race in loudon this weekend why not stop by new day diner for a great hearty breakfast before you go
2017-En-31379,Love your new show @driverminnie ,valence,0.638,love your new show
2017-En-30917,"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",valence,0.548,oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend
2017-En-31281,"@NFLonFOX @TheDoctorCarson @FOXSports Easy, breezy, beautiful...",valence,0.742,easy breezy beautiful
2017-En-31189,Being in the countryside all day was so pleasing,valence,0.79,being in the countryside all day was so pleasing
2017-En-30750,@bear_ing you asshole... you made me sexually attacked to a animated bear :-P,valence,0.333,you asshole you made me sexually attacked to a animated bear p
2017-En-22058,@swarbleflop @LightskinJesuSP they're both pretty awful when you look at them historically,valence,0.233,theyre both pretty awful when you look at them historically
2017-En-30420,@Corsair those sparkling looks like a gay vampire 😁,valence,0.677,those sparkling looks like a gay vampire 😁
2017-En-20754,"What do Aquila, Ajahnae, and Euriechsa have in common besides ridiculously stupid,horrible,ugly, God awful names? Tracey IS NOT their father",valence,0.274,what do aquila ajahnae and euriechsa have in common besides ridiculously stupidhorribleugly god awful names tracey is not their father
2017-En-31213,@SquishyJiminie aww thank you!! I'm definitely feeling much better today and your messages cheer me up too ☺️,valence,0.776,aww thank you im definitely feeling much better today and your messages cheer me up too ☺️
2017-En-30226,"The T.I / Shawty Lo beef is one of the more underrated ones in hip-hop history. Chock-full of wit, bravado and hilarity.",valence,0.613,the ti shawty lo beef is one of the more underrated ones in hiphop history chockfull of wit bravado and hilarity
2017-En-30475,And you as well! #sparkling @cherebork @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen,valence,0.638,and you as well
2017-En-21150,@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,valence,0.286,ball watching rojod header was equally dreadful
2017-En-11457,For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote,valence,0.629,for every minute you are angry you lose sixty seconds of happiness ralph waldo emerson
2017-En-40386,@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later  #protest #PoliceShootings #suggestions,valence,0.435,do u the facts or do u now ask questions later
2017-En-40771,"Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓 #blog #selfhelp ",valence,0.517,please bear with me im not twitter savvy😝 in real life im a facebook person help me gain followers 🤓
2017-En-20593,And here we go again 😓 ,valence,0.371,and here we go again 😓
2017-En-30100,I found #marmite in Australia. `:) #happy,valence,0.968,i found in australia
2017-En-30611,Misery loves company. The church ought to be a place where it finds none.\n-Pastor Kris Theobald #joy #rejoice,valence,0.7,misery loves company the church ought to be a place where it finds nonenpastor kris theobald
2017-En-21527,"Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell 😂",valence,0.717,does this blow your mind as much as it blew mine or did i just sexually harass someone 😂
2017-En-10199,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,valence,0.328,he has bad temperament
2017-En-30535,@TheNotoriousMMA looking like @MIckeyRourkeFP in his heyday,valence,0.517,looking like in his heyday
2017-En-30739,"@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? ",valence,0.375,they aint going away and i dont want to see them hurt changing heartsminds is really our only option no
2017-En-30502,i'm doing laundry and watching that 70's show with a bunch of strangers.  #birthday #to #me,valence,0.558,im doing laundry and watching that s show with a bunch of strangers
2017-En-31249,that's my breezy breezy breezy that's my breezy that's my buzzinnnnnn.,valence,0.645,thats my breezy breezy breezy thats my breezy thats my buzzinnnnnn
2017-En-31557,never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,valence,0.467,never a decision when you are and never make a when you are
2017-En-20042,@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...,valence,0.21,you made me cry and shake to the point where my parents had to calm me down and give me calming tablets
2017-En-31117,A delight to be at the Lane tonight and witness the debuts of some young talent that could be the backbone of our club!! #COYS,valence,0.871,a delight to be at the lane tonight and witness the debuts of some young talent that could be the backbone of our club
2017-En-20199,I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,valence,0.267,i can never find the exact that im after at the exact moment that i need it
2017-En-30063,"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",valence,0.845,ah but once i got it to work there was much rejoicing lol thanks will get it to do taht now
2017-En-10138,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,valence,0.3,wakes up and says have you tried changing her nappy 😡👊🏼
2017-En-10716,Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness,valence,0.419,praying for the to keep away from your heart is a sign of
2017-En-40639,Never let me see you frown,valence,0.403,never let me see you frown
2017-En-40116,"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy",valence,0.156,your ux online is appalling no clear save button not being able to use any generic tlds
2017-En-31207,@alicereidy more of a hearty Italian man myself,valence,0.483,more of a hearty italian man myself
2017-En-21895,@amychozick @jswatz Not a word about terrorism.,valence,0.458,not a word about terrorism
2017-En-30810,@MaxVenator We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf.,valence,0.462,weve had no foreign policy but have had goofy secretary of state john kerry with his devil may care pose and jaunty blue scarf
2017-En-40758,Very long day. Thank goodness for Bake Off to brighten up a weary Wednesday ☺ #GBBO,valence,0.581,very long day thank goodness for bake off to brighten up a weary wednesday ☺
2017-En-30021,"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious",valence,0.871,when you wake up from a dream laughing at something stupid and that makes you laugh more
2017-En-20518,Hope was an instinct only the reasoning human mind could kill. An animal never knew despair.,valence,0.417,hope was an instinct only the reasoning human mind could kill an animal never knew despair
2017-En-11107,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,valence,0.207,don king is an insult to the intelligence of the black community what are these people thinking
2017-En-30998,@FilthyFrank My first time watching your vids and i died of laughter. Keep this up dude,valence,0.793,my first time watching your vids and i died of laughter keep this up dude
2017-En-30725,"@Spacekatgal @outmagazine Its okay to be trans just rejoice with the trans in the trans way. By the way it's not your business, so why care?",valence,0.518,its okay to be trans just rejoice with the trans in the trans way by the way its not your business so why care
2017-En-21875,Omg I actually thought she was going to jump.  #SouthPark20 #southpark,valence,0.312,omg i actually thought she was going to jump
2017-En-30068,"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",valence,0.903,glad to see that youre having fun in the sun water sports are always fun challenging and exhilarating
2017-En-41505,This whole #VanRE + extradition might turn into a Pandora's box. JT has no idea about that murky corrupt guanxi in China; Toad vs Dada ;-),valence,0.379,this whole extradition might turn into a pandoras box jt has no idea about that murky corrupt guanxi in china toad vs dada
2017-En-21858,Body is sleepy but the mind is active. So sad... Have to get ready for work in 30 minutes. Damn! #restless,valence,0.156,body is sleepy but the mind is active so sad have to get ready for work in minutes damn
2017-En-31388,The LORD your God is in your midst—a warrior bringing victory. He will create calm with his love; he will rejoice over you with singing.,valence,0.65,the lord your god is in your midst—a warrior bringing victory he will create calm with his love he will rejoice over you with singing
2017-En-30198,"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …",valence,0.855,nntoday is a gift thats why its called the present …
2017-En-31169,Nice Idea collect all relevant socialmedia in one-But dont be automatic pls #worldsapp ⬅️ #chirp #appsworld #socialmedia @DanielFeuer merci🎈,valence,0.607,nice idea collect all relevant socialmedia in onebut dont be automatic pls ⬅️ merci🎈
2017-En-21318,I can never find the exact #emoji that I'm after at the exact moment that I need it #nuclear #missiles.\n\n#IndianArmy ,valence,0.375,i can never find the exact that im after at the exact moment that i need it nn
2017-En-10460,Brendan Rodgers looks fuming 😭,valence,0.304,brendan rodgers looks fuming 😭
2017-En-22193,@GOtvNg CN seems like you only appreciate good reviews. No apologies to my concern years ago.,valence,0.323,cn seems like you only appreciate good reviews no apologies to my concern years ago
2017-En-30117,My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday #hilarious #funny #laughing #happy,valence,0.871,my friend just messaged me ugh im so hungry i cant wait for breakfast
2017-En-30189,I am always ready to #smile.,valence,0.724,i am always ready to
2017-En-10379,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",valence,0.371,any time a man who got paid to throw temper tantrums speaks up you gotta listen
2017-En-10355,@PuseLepuru it's the irritation of not having found the corpse,valence,0.2,its the irritation of not having found the corpse
2017-En-31552,Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ #smile,valence,0.75,like i said ➡ theres plenty of cheddar in the cheese to go around for everyone ☺
2017-En-41183,@RobertWesley3 I'm #mad that my brother is #sad ! Feel better bub!,valence,0.278,im that my brother is feel better bub
2017-En-30767,@ClvlndK8 It's so sad! There's always such optimism with a new year. This is...not good. @BuckshotBandit1 @dapostrophearcy,valence,0.31,its so sad theres always such optimism with a new year this isnot good
2017-En-30933,one thing I can say is that you kept me smiling,valence,0.871,one thing i can say is that you kept me smiling
2017-En-30269,It's meant to be!!  ,valence,0.533,its meant to be
2017-En-30462,Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears,valence,0.645,your lions heartnwill protect you under stormy skiesnand i will always be listening for your laughter and your tears
2017-En-31341,Lets get this Astros/A's game going already!  We're going to need all 5 of you in attendance to cheer the A's to victory!,valence,0.583,lets get this astrosas game going already were going to need all of you in attendance to cheer the as to victory
2017-En-31238,Well that was exhilarating. I didn't know you could have goosebumps for 2 hrs 5m straight.,valence,0.717,well that was exhilarating i didnt know you could have goosebumps for hrs m straight
2017-En-31440,Bet pawpaw is having a good time rejoicing up in heaven for his first birthday there!,valence,0.603,bet pawpaw is having a good time rejoicing up in heaven for his first birthday there
2017-En-31466,Vincent looking super lively boy... Hattrick perhaps lol,valence,0.7,vincent looking super lively boy hattrick perhaps lol
2017-En-40080,in health we did a think about depression and now i feel like i have it,valence,0.364,in health we did a think about depression and now i feel like i have it
2017-En-10339,@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔,valence,0.422,what happened to the suicide tweet it was a joke obviously how could that offend anyone🤔
2017-En-11026,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,valence,0.179,i hate little girls 😡😡 got a lot off growing up to do
2017-En-21272,@JamesPiotr I am working on a feature right now about the preponderance of awful owners who are at war with fans. So many to choose from.,valence,0.373,i am working on a feature right now about the preponderance of awful owners who are at war with fans so many to choose from
2017-En-31494,"It take so little to make a child's life joyful, why do we work so hard to make their lives hell? @MiddleEastEye Peace",valence,0.516,it take so little to make a childs life joyful why do we work so hard to make their lives hell peace
2017-En-30228,Omg I'm outside making beats with garageband and some little birds  decided to chirp along （≧∇≦）,valence,0.583,omg im outside making beats with garageband and some little birds decided to chirp along （≧∇≦）
2017-En-40273,@DoubleEph sadly his best days are behind him,valence,0.234,sadly his best days are behind him
2017-En-20423,@zavvi @zavvihelp only offering 6 moth warranty #ps4pro #shocking #truth #ripoff,valence,0.317,only offering moth warranty
2017-En-31263,"Ok, it seems there is still hope in BSNL 🙂\nNow, BB speed is ok 🙂\nBut I won't thank and elate much lest it be gone again like before 😐🙂",valence,0.538,ok it seems there is still hope in bsnl 🙂nnow bb speed is ok 🙂nbut i wont thank and elate much lest it be gone again like before 😐🙂
2017-En-30220,chirp chirp! what a beautiful white and red bird! 🐦,valence,0.638,chirp chirp what a beautiful white and red bird 🐦
2017-En-30616,@Blancalanka96 thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking,valence,0.448,thought itd be fun and it is not fun but on the bright side i dont have to fight for parking
2017-En-41395,It's been 5 weeks and I still go through depression smh,valence,0.111,its been weeks and i still go through depression smh
2017-En-10206,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,valence,0.1,huh we have a sprint coach were the slowest team in the comp talk about robbing a living
2017-En-30722,"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",valence,0.589,i wish i really truly wish that i had just a modicum of your banter
2017-En-30295,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun,valence,0.85,use your smile to change the world dont let the world change your smile
2017-En-40964,One point: DSP claims YTers lost half their viewership in 2012 if they weren't using direct capture. That's when the search changes happened,valence,0.478,one point dsp claims yters lost half their viewership in if they werent using direct capture thats when the search changes happened
2017-En-30744,.@POTUS Obama describes his temperament as 'steady &amp; on the buoyant side.',valence,0.333,obama describes his temperament as steady on the buoyant side
2017-En-30377,- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -,valence,0.574,the joyous occasion of laughing at the ostentatious display of disrespect bruce just scoffed at the entire scene this wasnt batman’s
2017-En-30188,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,valence,0.8,the current run of superman continues to be a delight you can feel the love poured into it by everone on the creative team
2017-En-31519,Come to the @BullSkitComedy FUNdraiser this Fri. at 8pm @TheScottBlock. Because #pie + #face = !,valence,0.641,come to the fundraiser this fri at pm because
2017-En-21027,"@washingtondc @NMAAHC That is Noah Ark, it's a terrific design.",valence,0.581,that is noah ark its a terrific design
2017-En-30276,I'm a cheery ghost.,valence,0.677,im a cheery ghost
2017-En-31326,did you know that the sparkling letters in Super Mario Galaxy spell out U R MR GAY,valence,0.567,did you know that the sparkling letters in super mario galaxy spell out u r mr gay
2017-En-11505,@Markk1872  Red heads are more fiery.,valence,0.5,red heads are more fiery
2017-En-21020,Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !,valence,0.733,solid starts by and hoping for a good
2017-En-30426,Relive Vegas' heyday with Rat Pack tribute,valence,0.531,relive vegas heyday with rat pack tribute
2017-En-10507,"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",valence,0.452,its buzzing pathetically for sympathy if you let it out it will twirl its moustache chuckle and sting you
2017-En-20140,Job interview in the afternoon  #ek,valence,0.569,job interview in the afternoon
2017-En-31363,"Today I answered a call from a college rep who didn't realize I did, and I got to hear part of his lively debate about if evolution is real.",valence,0.467,today i answered a call from a college rep who didnt realize i did and i got to hear part of his lively debate about if evolution is real
2017-En-30417,I've got some new pens to break in. Name an animated series and I'll draw you in that style 🖍,valence,0.672,ive got some new pens to break in name an animated series and ill draw you in that style 🖍
2017-En-10395,"If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen",valence,0.267,if i spend more than £ in shimmy on £ drinks ill be raging but we all know its gonna happen
2017-En-30956,#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter!  #cleverpeople,valence,0.823,has given me so many laughs this afternoon thanks twitter
2017-En-30393,Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. This life sef,valence,0.411,just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next this life sef
2017-En-30265,I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious,valence,0.617,i thought i got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious
2017-En-22155,I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch,valence,0.387,i seriously hope these chances celtic are missing are going to come back to haunt them with an alloa sucker punch
2017-En-41293,i cant live anymore my roblox got termianted :(((((((((((((((((((((((( #sad #killme #lol #robloxgamer,valence,0.117,i cant live anymore my roblox got termianted
2017-En-31381,@Ginger_Naylor *Connie came back in* Hey you seem a bit more lively,valence,0.55,connie came back in hey you seem a bit more lively
2017-En-20118,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,valence,0.333,in my dreamthey were trying to steal my kidney
2017-En-20618,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .,valence,0.355,obama admin rejects texas plan to have refugees vetted for terrorism so texas pulls of of fed refugee resettlement program aiding
2017-En-10907,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,valence,0.25,just joined and was sorted into hufflepuff 😡😡😡
2017-En-31432,Impractical Jokers...practically genius!!!  @BQQuinn #laughter #good4thesoul #ImpracticalJokers #bingewatching,valence,0.732,impractical jokerspractically genius
2017-En-21015,#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤ @thecandeyman,valence,0.732,hoco bc my dream since freshman year awe 😙❤❤❤
2017-En-30678,@crumpledlinen he chirp,valence,0.569,he chirp
2017-En-41196,The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,valence,0.452,the ghost of stefano reflects on the grim indignity of being murdered by corrupt cops in faux love
2017-En-30485,"Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully. #woficc",valence,0.591,just like there is a right way to pray there is a right way to give not grudgingly or of necessity but cheerfully
2017-En-10405,Guy across from me in a really ugly suit cannot stop expressing his displeasure,valence,0.21,guy across from me in a really ugly suit cannot stop expressing his displeasure
2017-En-30749,f breezy,valence,0.672,f breezy
2017-En-30795,Turns out 'it' wasn't even anything to be concerned about at all. Im happy and a bit frustrated it took so long to get this answer.,valence,0.484,turns out it wasnt even anything to be concerned about at all im happy and a bit frustrated it took so long to get this answer
2017-En-41198,Bojack Horseman: the saddest show ever written?? #depression #season1,valence,0.214,bojack horseman the saddest show ever written
2017-En-31596,"Dehydrated, exhausted, stressed but still blessed. ",valence,0.586,dehydrated exhausted stressed but still blessed
2017-En-31426,"I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me.",valence,0.435,i want my highlight to be so bright that if i ever get lost and someone is looking for me in the dark theyll find me
2017-En-31479,#Appreciate what you have &amp; enjoy your life. \nUse your #smile 😃 to help others use theirs. ☺️,valence,0.742,what you have enjoy your life nuse your 😃 to help others use theirs ☺️
2017-En-30241,What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg ,valence,0.629,what if the metro lrt went over the walterdale 😂
2017-En-31123,@cedricyarbrough We love you! #hilarious   We are looking forward to SO much more!  #kudos on the #pilot @Speechless_ABC #speechless,valence,0.893,we love you we are looking forward to so much more on the
2017-En-30708,A former diplomat is quite gleeful about the situation of Pakistan on @TimesNow\nNot quite stiff upper lip of diplomacy seen normally,valence,0.339,a former diplomat is quite gleeful about the situation of pakistan on nnot quite stiff upper lip of diplomacy seen normally
2017-En-41041,Sigh. I got a B- .. #depressing,valence,0.065,sigh i got a b
2017-En-30347,"@yoursecretsub1 Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue.",valence,0.623,trust me dear if you want to make anything invisible hang a wet paint on it and hilarity will ensue
2017-En-31615,Asked one thing from our guys tonight and got it! #happy #proud #disappointed - THAT IS FOOTBALL #timetoclimbthetable,valence,0.607,asked one thing from our guys tonight and got it that is football
2017-En-30865,"When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou",valence,0.726,when we give cheerfully and accept gratefully everyone is blessed »maya angelou
2017-En-30380,When you're prof suggest @Pharrell and William James may be unlikely dialogue partners and then plays the #happy video #WeAreCST,valence,0.61,when youre prof suggest and william james may be unlikely dialogue partners and then plays the video
2017-En-10643,"be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better",valence,0.5,be strong independant and practical stop living in your world of fantasy snap out of it the faster u get used to the reality the better
2017-En-40694,Beats is accurately all-powerful with respect to high-quality high-frequency speaker in re the extra desolate relating to fire-ea:…,valence,0.603,beats is accurately allpowerful with respect to highquality highfrequency speaker in re the extra desolate relating to fireea…
2017-En-20831,@SteveBryantArt I was pretty sure it was a Golden Ticket. Get a tour. Make a mistake. Something horrific will happen to you. Good day sir.,valence,0.581,i was pretty sure it was a golden ticket get a tour make a mistake something horrific will happen to you good day sir
2017-En-10096,"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",valence,0.276,ha right im from san jose ca and i was offended right there with you dave go on a walk or something next time
2017-En-30312,@bradshawjp Sweet! #optimism,valence,0.63,sweet
2017-En-11025,Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.,valence,0.414,repealremove the johnson amendment it is a direct affront to the first amendment of the constitution
2017-En-20407,So they #threaten to kill #kapernick for KNEELING. I say every athlete just stop playing until social justice and equality comes forth.,valence,0.375,so they to kill for kneeling i say every athlete just stop playing until social justice and equality comes forth
2017-En-11636,@JordySloan love that Jordy #revenge ⚽️,valence,0.519,love that jordy ⚽️
2017-En-30624,"Mind if I tag along?' She asked cheerfully, sweeping a lock of hair behind her ear. 'I want to see if you've really got • @DitheringWizard",valence,0.583,mind if i tag along she asked cheerfully sweeping a lock of hair behind her ear i want to see if youve really got •
2017-En-31502,"everyone hates twice, and i kinda did too but they got bops i'm bumping rn to cheer up",valence,0.435,everyone hates twice and i kinda did too but they got bops im bumping rn to cheer up
2017-En-30340,"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",valence,0.633,just watched django unchained other people may frown but i titter in delight
2017-En-30954,I just want to let everyone out there know you are wonderful people! #beyourself   #late-night #compliment #behappy,valence,0.855,i just want to let everyone out there know you are wonderful people night
2017-En-40209,@el_tityboi bc it's a gloomy day Tony,valence,0.219,bc its a gloomy day tony
2017-En-30209,@crimpoop my adorable and cheerful daughter\nAlways pouring positivity green goo on me\ndare hurt her and you'll see hell //growls\n\n#PandaBot,valence,0.638,my adorable and cheerful daughternalways pouring positivity green goo on mendare hurt her and youll see hell growlsnn
2017-En-41228,@teenageic0n_ you'll be pleased to know my family are blues,valence,0.565,youll be pleased to know my family are blues
